make_standardized,model_raw,model_standardized,ev_category
FORD,DD2SRX,DD2SRX,ICE
FORD,E,E,ICE
FORD,E TRAN,E TRAN,ICE
FORD,ERVERE,ERVERE,ICE
FORD,ESCAPE,ESCAPE,ICE
FORD,ESCPAE,ESCPAE,ICE
FORD,EVER,EVER,BEV
FORD,EVERAS,EVERAS,BEV
FORD,EVERER,EVERER,BEV
FORD,EVERES,EVERES,BEV
FORD,EVERRE,EVERRE,BEV
FORD,EVERS,EVERS,BEV
FORD,EVERSE,EVERSE,BEV
FORD,EVERST,EVERST,BEV
FORD,EVERTE,EVERTE,BEV
FORD,EVREST,EVREST,BEV
FORD,EVRRES,EVRRES,BEV
FORD,EXPLOR,EXPLOR,ICE
FORD,F 150,F 150,ICE
FORD,F 250,F 250,ICE
FORD,F 350,F 350,ICE
FORD,F-150,F-150,ICE
FORD,F150,F150,ICE
FORD,F150 L,F150 L,ICE
FORD,F150 P,F150 P,ICE
FORD,F150 S,F150 S,ICE
FORD,F150 X,F150 X,ICE
FORD,F250,F250,ICE
FORD,F250 L,F250 L,ICE
FORD,F250 P,F250 P,ICE
FORD,F250 X,F250 X,ICE
FORD,F250SR,F250SR,ICE
FORD,F350,F350,ICE
FORD,F350 L,F350 L,ICE
FORD,F450,F450,ICE
FORD,FALCON,FALCON,ICE
FORD,FIESTA,FIESTA,ICE
FORD,FOCUS,FOCUS,ICE
FORD,FORD,FORD,ICE
FORD,FORD R,FORD R,ICE
FORD,H6 ULT,H6 ULT,ICE
FORD,JOLION,JOLION,ICE
FORD,KONA,KONA,ICE
FORD,LARIAT,LARIAT,ICE
FORD,LIGHTN,LIGHTN,ICE
FORD,MACH E,MACH E,ICE
FORD,MACHE,MACHE,ICE
FORD,MSTANG,MSTANG,ICE
FORD,MUS,MUS,ICE
FORD,MUSTA,MUSTA,ICE
