make_standardized,model_standardized,ev_category
FIAT,EMU RV,ICE
FIAT,FA 25,ICE
FIAT,FD 19,ICE
FIAT,IN3,ICE
FIAT,IN500,ICE
FIAT,IN600,ICE
FIAT,IND600,ICE
FIAT,INDIE,ICE
FIAT,INIE C,ICE
FIAT,JAYCON,ICE
FIAT,JRV,ICE
FIAT,OPTIMU,ICE
FIAT,RANGER,ICE
FIAT,RENTAL,ICE
FIAT,SCUDO,ICE
FIAT,SIGNAT,ICE
FIAT,TARINO,ICE
FIAT,TORINO,ICE
FIAT,V 6442,ICE
FIAT,V6414,ICE
FORD,2023,ICE
FORD,2024,ICE
FORD,2025,ICE
FORD,ALL N,ICE
FORD,ALL NE,ICE
FORD,ARBRGR,ICE
FORD,ATTO 2,ICE
FORD,BF2SRW,ICE
FORD,D90,ICE
FORD,DD2SRX,ICE
FORD,E,ICE
FORD,E TRAN,ICE
FORD,ERVERE,ICE
FORD,ESCAPE,ICE
FORD,ESCPAE,ICE
FORD,EVEREST,ICE
FORD,EVERS,ICE
FORD,EXPLOR,ICE
FORD,F 150,ICE
FORD,F 250,ICE
FORD,F 350,ICE
FORD,F-150,ICE
FORD,F150,ICE
FORD,F150 L,ICE
FORD,F150 P,ICE
FORD,F150 S,ICE
FORD,F150 X,ICE
FORD,F250,ICE
FORD,F250 L,ICE
FORD,F250 P,ICE
FORD,F250 X,ICE
FORD,F250SR,ICE
FORD,F350,ICE
FORD,F350 L,ICE
FORD,F450,ICE
FORD,FALCON,ICE
FORD,FIESTA,ICE
FORD,FOCUS,ICE
FORD,FORD,ICE
FORD,FORD R,ICE
FORD,H6 ULT,ICE
FORD,JOLION,ICE
FORD,KONA,ICE
FORD,LARIAT,ICE
FORD,LIGHTN,ICE
FORD,MACH E,BEV
FORD,MACHE,ICE
FORD,MSTANG,ICE
FORD,MUS,ICE
FORD,MUSTA,ICE
FORD,MUSTAG,ICE
FORD,MUSTAN,ICE
FORD,MUSTNG,ICE
FORD,P,ICE
FORD,PLATIN,ICE
FORD,PUMA,ICE
FORD,PUMA S,ICE
FORD,R,ICE
