make_standardized,model_standardized,ev_category
SKODA,KAORQ,EV
SUBARU,2024,EV
SUBARU,GREEN,EV
TOYOTA,32 8FG,EV
TOYOTA,427FG2,EV
TOYOTA,BZ4X S,EV
TOYOTA,CHRH,EV
TOYOTA,COXH,EV
TOYOTA,HAICE,EV
TOYOTA,HIULX,EV
TOYOTA,HIUX R,EV
TOYOTA,KLUH,EV
TOYOTA,LANCRU,EV
TOYOTA,LANDRC,EV
TOYOTA,LC 76,EV
TOYOTA,LC79 C,EV
TOYOTA,MG ZS,EV
TOYOTA,VOXY,EV
VOLVO,B0E,EV
VOLVO,B8R E6,EV
VOLVO,EX30,EV
VOLVO,EX60,EV
VOLVO,FE4X2R,EV
VOLVO,FM 600,EV
ZEEKR,CX5,EV
ZEEKR,X,EV
AUDI,Q8 E T,EV
AUDI,S7,EV
FIAT,C7454,EV
FIAT,RANGER,EV
FORD,ALL N,EV
FORD,F 350,EV
FORD,F250SR,EV
FORD,FORD R,EV
KIA,CEARTO,EV
KIA,CERARO,EV
KIA,EV6 AI,EV
KIA,JA PIC,EV
KIA,OMODA,EV
KIA,SORNET,EV
KIA,SPORAT,EV
KIA,SPRENT,EV
LDV,2024,EV
LDV,D90 4W,EV
LDV,D90 DI,EV
LDV,MIFA 9,EV
MAZDA,BT80,EV
MAZDA,CCX30,EV
MAZDA,CX90 H,EV
MAZDA,PEDDER,EV
MAZDA,X5 G35,EV
NISSAN,JUKEST,EV
SKODA,KAROK,EV
SUBARU,BLUE,EV
SUBARU,YY6310,EV
TESLA,,EV
TESLA,TG3241,EV
TOYOTA,628FD,EV
TOYOTA,8FD5ON,EV
TOYOTA,A25A0D,EV
TOYOTA,A25AS2,EV
TOYOTA,A25AS3,EV
TOYOTA,CORLLA,EV
TOYOTA,CORO H,EV
TOYOTA,GORTUN,EV
TOYOTA,GR SUP,EV
GAC,AION,EV
GAC,AION V,EV
GAC,AIONV,EV
GAC,EMZOOM,EV
GAC,M8,EV
GEELY,EX5,EV
GEELY,EX5 IN,EV
GEELY,INSPIR,EV
GEELY,STARRA,EV
GEELY,STARRY,EV
JAECOO,GREEN,EV
JAECOO,J5,EV
JAECOO,J5 BEV,EV
JAECOO,J5 RID,EV
JAECOO,J7,EV
JAECOO,J7 COR,EV
JAECOO,J7 MY2,EV
JAECOO,J7 RID,EV
JAECOO,J7 SUM,EV
JAECOO,J7 TRA,EV
JAECOO,J8,EV
JAECOO,J8 MY2,EV
JAECOO,J8 RID,EV
JAECOO,JAECOO,EV
JAECOO,MY25 J,EV
JAECOO,OMODA,EV
KGM,ACTYON,EV
KGM,MUSSO,EV
KGM,REXTON,EV
KIA,ARIYA,EV
KIA,CARIVA,EV
KIA,CL4M,EV
KIA,CL4M K,EV
KIA,EV3,EV
KIA,EV3 AI,EV
KIA,EV3 GT,EV
KIA,EV5,EV
KIA,EV5 AI,EV
KIA,EV5 GT,EV
KIA,K4,EV
KIA,K4 GT,EV
KIA,MQ4 PE,EV
KIA,PICAN,EV
KIA,STINIC,EV
KIA,TASMAN,EV
KIA,TIGGO,EV
KIA,TK,EV
KIA,TK TAS,EV
LDV,DOUBLE,EV
LDV,EKK1C,EV
LDV,SK8C T,EV
LDV,T60 DC,EV
LDV,TERRON,EV
LEXUS,ES 500,EV
LEXUS,LBX MO,EV
LEXUS,MORIZO,EV
LEXUS,NX450,EV
MAZDA,CX 70,EV
MAZDA,CX 80,EV
MAZDA,CX80,EV
MAZDA,MAZDZA,EV
MINI,ACEMAN,EV
MINI,TRITON,EV
NISSAN,D27 NA,EV
NISSAN,WRANGL,EV
SKODA,ELROQ,EV
SKODA,ELROY,EV
SKODA,ENAQ,EV
SKODA,ENYAQ,EV
SKODA,SILVER,EV
SMART,3 BRAB,EV
SMART,3 PREM,EV
SUBARU,HEV FO,EV
TESLA,M3 LRR,EV
TOYOTA,2025,EV
TOYOTA,4RUNER,EV
TOYOTA,ALPHAR,EV
TOYOTA,BZ4X A,EV
TOYOTA,CHR SP,EV
TOYOTA,CROLLA,EV
TOYOTA,GTS GR,EV
TOYOTA,HIAVE,EV
TOYOTA,HIILUX,EV
TOYOTA,LC GXL,EV
TOYOTA,MY26 T,EV
TOYOTA,PRA,EV
TOYOTA,RAV4 2,EV
TOYOTA,SAHARA,EV
TOYOTA,XUV700,EV
TOYOTA,YARISS,EV
TOYOTA,YAXH,EV
TOYOTA,YEAIS,EV
VOLVO,EX30 C,EV
VOLVO,EX40,EV
VOLVO,EX90,EV
VOLVO,FL,EV
VOLVO,FM430,EV
XPENG,G6,EV
ZEEKR,009,EV
ZEEKR,7X,EV
ZEEKR,7Z,EV
MAZDA,2025,EV
JAECOO,7 SUMM,EV
TOYOTA,8FD35N,EV
TOYOTA,ASCENT,EV
FIAT,B 6942,EV
MAZDA,BT50 H,EV
TOYOTA,BZ4X E,EV
TOYOTA,BZX4 T,EV
MAZDA,CX5 SP,EV
MAZDA,CX60 T,EV
MAZDA,CX60 V,EV
MAZDA,CX80 A,EV
MAZDA,CX80 P,EV
MAZDA,CX80 T,EV
LDV,DEL 7,EV
KIA,EV3 EA,EV
KIA,EV4,EV
KIA,EV5 EA,EV
GEELY,EX INS,EV
GEELY,EX5 CO,EV
FORD,EXPLOR,EV
VOLVO,FE8,EV
SUBARU,FO,EV
JEEP,GLADIT,EV
TOYOTA,HIKUX,EV
TOYOTA,HILUS,EV
JAECOO,J5 SUM,EV
CHERY,J7,EV
JAECOO,J7 SHS,EV
CHERY,J8,EV
JAECOO,J8 TRA,EV
CHERY,JAECOO,EV
KIA,K4 S,EV
KIA,K4 SPO,EV
SKODA,KARQ,EV
VOLVO,L70H2,EV
MAZDA,MA,EV
LDV,MAXPLU,EV
JAECOO,MY25 O,EV
TOYOTA,RA4 GX,EV
FIAT,RENTAL,EV
LEXUS,RX AL3,EV
LEXUS,RZ,EV
KIA,SOENTO,EV
KIA,SORENO,EV
KIA,SPROTA,EV
LDV,SV9A 2,EV
LDV,SV9A 4,EV
CHERY,T34,EV
CHERY,T4 ULT,EV
LDV,T60 PL,EV
CHERY,T7 CSH,EV
CHERY,T8 CSH,EV
CHERY,TIGG0,EV
CHERY,TIGOG,EV
KGM,TORRES,EV
SUBARU,WRX SE,EV
ZEEKR,X AWD,EV
TOYOTA,7FBE20,EV
TOYOTA,ALPHA,EV
NISSAN,AURA,EV
FIAT,CASUAR,EV
MAZDA,CX30 E,EV
MAZDA,CX5 TU,EV
MAZDA,CX80 D,EV
DENZA,D9,EV
VOLVO,EC140D,EV
VOLVO,ES90,EV
TOYOTA,FORUTU,EV
TOYOTA,GR86GT,EV
KIA,GREY,EV
LEXUS,GX,EV
TOYOTA,HILIX,EV
JAECOO,J5 EV,EV
JAECOO,J5BEVE,EV
LEXUS,LX700H,EV
MAZDA,P52104,EV
TOYOTA,PRAD,EV
FORD,RAMGER,EV
FIAT,SCUDO,EV
KIA,SEALIO,EV
AUDI,SQ5 TF,EV
CHERY,T4 URB,EV
CHERY,T9 CSH,EV
CHERY,TI41,EV
TOYOTA,YRAIS,EV
CHERY,2024,EV
MAZDA,C90,EV
LDV,DILVER,EV
JEEP,GRD CH,EV
SMART,HC BRA,EV
SMART,HC PRE,EV
CHERY,OMEDA,EV
FORD,RA,EV
ZEEKR,X RWD,EV
VOLVO,009,EV
JAECOO,7,EV
LDV,92EEE4,EV
TOYOTA,A25AS5,EV
FIAT,B 6832,EV
KIA,CARNIA,EV
KIA,CARNVI,EV
GEELY,COMPLE,EV
MINI,COPPER,EV
KIA,CRANIV,EV
MAZDA,CX80 G,EV
LDV,D90 MY,EV
KIA,EV 5,EV
KIA,EV 5 E,EV
GEELY,EX4,EV
